trust_code,trust_name,total_attendances,within_4hrs,source_file,compliance_pct
QPM,NHS Northamptonshire Integrated Care Board,33581.0,25070.0,October-2024-AE-by-provider-gAzJa-revised.xls,74.66
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,41674.0,26710.0,October-2024-AE-by-provider-gAzJa-revised.xls,64.09
QKK,NHS South East London Integrated Care Board,82405.0,59736.0,October-2024-AE-by-provider-gAzJa-revised.xls,72.49
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",16177.0,9920.0,October-2024-AE-by-provider-gAzJa-revised.xls,61.32
QSL,NHS Somerset Integrated Care Board,22657.0,16790.0,October-2024-AE-by-provider-gAzJa-revised.xls,74.11
QWE,NHS South West London Integrated Care Board,59613.0,44608.0,October-2024-AE-by-provider-gAzJa-revised.xls,74.83
QF7,NHS South Yorkshire Integrated Care Board,61452.0,43279.0,October-2024-AE-by-provider-gAzJa-revised.xls,70.43
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,24079.0,15931.0,October-2024-AE-by-provider-gAzJa-revised.xls,66.16
QJG,NHS Suffolk And North East Essex Integrated Care Board,36559.0,25716.0,October-2024-AE-by-provider-gAzJa-revised.xls,70.34
QXU,NHS Surrey Heartlands Integrated Care Board,35290.0,25198.0,October-2024-AE-by-provider-gAzJa-revised.xls,71.4
QNX,NHS Sussex Integrated Care Board,64923.0,50264.0,October-2024-AE-by-provider-gAzJa-revised.xls,77.42
QUA,NHS Black Country Integrated Care Board,80167.0,62528.0,October-2024-AE-by-provider-gAzJa-revised.xls,78.0
QWO,NHS West Yorkshire Integrated Care Board,93354.0,67045.0,October-2024-AE-by-provider-gAzJa-revised.xls,71.82
-,-,2397701.0,1777827.0,October-2025-AE-by-provider-lFUBF.xls,74.15
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",32108.0,22064.0,October-2025-AE-by-provider-lFUBF.xls,68.72
